,QID,Name,P21,P21ref,P91,P91ref,P6553,P6553ref,pronounsEn
1425840,Q104853455,KaDee Bramlett,genderfluid,,,,,,
1427379,Q4902514,Bianca Soares,transgender female,,,,,,
1427520,Q6013021,Michelle Suárez Bértora,transgender female,,,,,,
1428151,Q16222203,Lily Hanson,transgender female,,,,,,
1430091,Q6153507,Janet Mock,transgender female,,,,,,
1430965,Q20747092,Agnes Torres,transgender female,,,,,,
1432769,Q6306836,Julia Weldon,non-binary,,,,L371,,they/them
1433544,Q20646508,Morgan Bailey,transgender female,,,,,,
1433656,Q25414895,Foxxy,transgender female,,,,,,
1436562,Q59555263,Kylie Sonique Love,transgender female,,,,,,
1436958,Q404379,Yasmin Lee,transgender female,,,,,,
1437251,Q2336456,Yuhki Kamatani,non-binary,,,,,,
1437660,Q5388995,Erika Moen,cisgender female,,,,,,
1438008,Q8054794,Yollada Suanyot,transgender female,,,,,,
1440674,Q11456070,Subaru Fuji,transgender male,,,,,,
1441409,Q47494207,Jessica Alves,transgender female,,,,,,
1444277,Q105901847,Kim Gi-hong,non-binary,,,,,,
1444992,Q3543670,Ice Seguerra,transgender male,,,,,,
1448052,Q7926558,Victoria Arellano,transgender female,,,,,,
1448415,Q16205705,Geena Rocero,transgender female,,,,,,
1451069,Q26210763,Aishwarya Rutuparna Pradhan,transgender female,,,,,,
1451688,Q118624,Lorielle London,transgender female,,,,,,
1452280,Q4883227,Bell Nuntita,transgender female,,,,,,
1453087,Q16337751,Leo Kret,transgender female,,,,,,
1453182,Q18631417,Honey Mahogany,non-binary,,,,L484,,she/her
1453534,Q55760395,Bogi Takács,agender,,,,L303651,,L303651
1453535,Q55760395,Bogi Takács,agender,,,,L371,,they/them
1453658,Q72319882,Daniele Metilli,non-binary,,,,,,
1455750,Q7595938,Stacie Laughton,transgender female,,,,,,
1456866,Q16240264,CN Lester,non-binary,,,,L371,,they/them
1457036,Q19667527,Jim Sterling,non-binary,,pansexuality,,L371,,they/them
1457108,Q18207033,Audrey Mbugua,transgender female,,,,,,
1457690,Q23015692,Heinrich Horwitz,non-binary,,,,,,
1457885,Q27244430,Keelin Godsey,transgender male,,,,,,
1457975,Q27890467,Hilda-Maria Sandgren,non-binary,,,,,,
1458637,Q45319919,Geo Wyeth,transgender male,,,,,,
1459898,Q64746913,Ryann Holmes,non-binary,,,,L371,,they/them
1460138,Q72554643,Naaz Joshi,transgender female,,,,,,
1461495,Q89290871,Thomas Messias,cisgender male,,heterosexuality,,,,
1461714,Q87289843,Olave Nduwanje,transgender female,,,,,,
1462219,Q98537077,Lady Tacos de Canasta,muxe,,,,,,
1462845,Q103728400,Louïz,transgender female,,,,,,
1463002,Q106093129,Aleksander Berezkin,intersex,,,,,,
1463133,Q107352341,Paulete Furacão,transgender female,,,,,,
1465849,Q47067592,Natalie Mars,transgender female,,,,,,
1466098,Q86351247,Lena Raine,transgender female,,,,L484,,she/her
1471455,Q97238291,Selin Ciğerci,transgender female,,,,,,
1472202,Q3492524,B-complex,bigender,,,,L484,,she/her
1472968,Q11495584,Yoshiki Naruse,transgender male,,,,,,
1473634,Q29588800,Johanna Hedva,non-binary,,,,L371,,they/them
1473722,Q47546740,Divina De Campo,non-binary,,,,,,
1476399,Q56654462,Stefania Zambrano,transgender female,,,,,,
1476415,Q60526260,Ashlee Marie Preston,transgender female,,,,,,
1476510,Q72770500,Ariadna Arantes,transgender female,,,,,,
1476513,Q75057006,Kyle Lukoff,transgender male,,,,,,
1477417,Q3565048,Allanah Starr,transgender female,,,,,,
1477571,Q4830922,Ayana Tsubaki,transgender female,,,,,,
1479044,Q59811911,Stacy Layne Matthews,transgender female,,,,,,
1481604,Q53764852,Yukichi,transgender male,,,,,,
1482469,Q1893906,Raven van Dorst,non-binary,,,,,,
1482470,Q1893906,Raven van Dorst,intersex,,,,,,
1484150,Q29835624,Jessica Pereira,transgender female,,,,,,
1484161,Q30323707,Danica Roem,transgender female,,,,,,
1484319,Q60530780,Magdalene Visaggio,transgender female,,,,,,
1484353,Q62596011,Josefina González,transgender female,,,,,,
1486756,Q48789950,Tifanny Abreu,transgender female,,,,,,
1488230,Q7681866,Tamsin Omond,non-binary,,,,L371,,they/them
1488981,Q29349327,Asia Kate Dillon,non-binary,,,,L371,,they/them
1489005,Q31197437,May Peleg,transgender female,,,,,,
1489189,Q64590739,Lioz Levi,transgender female,,,,,,
1492619,Q3037221,Smith,non-binary,,,,,,
1495031,Q17605436,Justine Tunney,transgender female,,,,,,
1495584,Q23007555,Charlene Carruthers,cisgender female,,lesbianism,,,,
1495887,Q26899531,Trevor MacDonald,transgender male,,,,,,
1496174,Q28648520,Anjali Lama,transgender female,,,,,,
1496338,Q30364277,Chase Strangio,transgender male,,,,,,
1496507,Q40589015,Shay Neary,transgender female,,,,,,
1496525,Q41552668,Elle Hearns,transgender female,,,,,,
1496554,Q42211963,Sage Sharp,non-binary,,,,L371,,they/them
1497052,Q55237966,Jason-Antigone Dane,non-binary,,,,,,
1497645,Q60417240,Bunny Michael,non-binary,,,,L371,,they/them
1497787,Q61391086,Xeito Fole,transgender male,,,,,,
1497825,Q61852721,Raquel Salas Rivera,non-binary,,,,L485,,he/him
1497882,Q62108315,Amara Moira,transgender female,,,,,,
1499552,Q81849398,Vijayarajamallika,transgender female,,,,,,
1499553,Q81849398,Vijayarajamallika,intersex,,,,,,
1499731,Q87085921,Alex Sparrowhawk,non-binary,,,,,,
1499962,Q94166642,Hunter Hunt-Hendrix,transgender female,,,,,,
1502292,Q2203278,Gwen Araujo,transgender female,,,,,,
1504625,Q1091945,Hime Tsukino,transgender female,,,,,,
1506265,Q18686095,Miss Fame,genderfluid,,,,,,
1506795,Q64364432,Vita Ayala,non-binary,,,,L371,,they/them
1507421,Q1104985,Dorottya Karsay,non-binary,,,,L371,,they/them
1507988,Q5043441,Carmen Carrera,transgender female,,,,,,
1509363,Q53568402,Andrea Marra,transgender female,,,,,,
1511539,Q15846411,Eva Lin,transgender female,,,,,,
1512896,Q918835,Ataru Nakamura,transgender female,,,,,,
1513574,Q5792770,Hugh Sheridan,non-binary,,,,,,
1515207,Q106729546,Symon Henry,genderqueer,,,,L371,,they/them
1516928,Q18044188,Mia Isabella,transgender female,,,,,,
1517131,Q25324684,Misty Snow,transgender female,,,,,,
1517410,Q59656350,Patricio Manuel,transgender male,,,,,,
1519296,Q15991600,Our Lady J,non-binary,,,,,,
1519940,Q57434387,Nino Cipri,non-binary,,,,L371,,they/them
1519974,Q61538759,Valeria Vegas,transgender female,,,,,,
1519979,Q61872892,Ellie Wizmas,transgender female,,bisexuality,,L484,,she/her
1520143,Q85917375,Park Han-hee,transgender female,,,,,,
1521262,Q5972933,iO Tillett Wright,transgender male,,,,L485,,he/him
1521710,Q11412683,Shūto Yoshihara,transgender male,,,,,,
1521876,Q13371954,Jul' Maroh,non-binary,,lesbianism,,L371,,they/them
1521877,Q13371954,Jul' Maroh,transgender person,,lesbianism,,L371,,they/them
1522401,Q28688703,Yūna Hirasawa,transgender female,,,,,,
1522435,Q30314131,Sarah Shook,genderqueer,,,,L371,,they/them
1523020,Q292470,Isis King,transgender female,,,,,,
1525230,Q92192763,Ness Murby,genderqueer,,,,L485,,he/him
1525231,Q92192763,Ness Murby,transmasculine,,,,L485,,he/him
1525437,Q108353214,María Clemente García,transgender female,,,,,,
1527026,Q21175458,Genking,transgender female,,,,,,
1527760,Q234356,Janelle Monáe,non-binary,,pansexuality,,L371,,they/them
1527762,Q234356,Janelle Monáe,non-binary,,pansexuality,,L484,,she/her
1531086,Q4942517,Alexander Alvina Chamberland,non-binary,,,,,,
1531597,Q6375673,Aries Moross,non-binary,,,,L371,,they/them
1531762,Q7039940,Nireah Johnson,transgender female,,,,,,
1533045,Q20704242,Abigail Pereira,transgender female,,,,,,
1533196,Q19850189,Liu Ting,transgender female,,,,,,
1533896,Q28054640,Miquel Missé Sánchez,transgender male,,,,,,
1533915,Q28154977,Pidgeon Pagonis,non-binary,,,,L371,,they/them
1533916,Q28154977,Pidgeon Pagonis,intersex,,,,L371,,they/them
1533977,Q28683775,Moca,transgender female,,,,,,
1534071,Q29797712,Foz Meadows,non-binary,,bisexuality,,L484,,she/her
1534175,Q31578569,Meredith Russo,transgender female,,,,,,
1534857,Q56318631,Samuele Mandeville,non-binary,,,,,,
1535680,Q66480629,Tiffany Starr,transgender female,,,,,,
1535925,Q63989083,Marcelly Morena,transgender female,,,,,,
1535929,Q64009860,Dorian Lake,transgender female,,,,,,
1536389,Q75838973,Charley Hasted,non-binary,,,,L371,,they/them
1537090,Q85320873,Harry Josephine Giles,non-binary,,,,L371,,they/them
1537091,Q85320873,Harry Josephine Giles,non-binary,,,,L484,,she/her
1537906,Q98059816,Maxwell Zachs,transgender male,,,,,,
1538171,Q100304600,Sahar Zohouri,intersex,,,,,,
1538208,Q100941342,Ericka Hart,non-binary,,,,L371,,they/them
1538209,Q100941342,Ericka Hart,non-binary,,,,L484,,she/her
1538411,Q106019158,Jess T. Dugan,non-binary,,,,,,
1541186,Q50715577,Carmen Moore,transgender female,,,,,,
1542316,Q3942185,Ruby Rose,genderfluid,,lesbianism,,L484,,she/her
1542620,Q6096813,Rüzgar Erkoçlar,transgender male,,,,,,
1545604,Q7357362,Rodrigo Lehtinen,transgender male,,,,,,
1546116,Q16201334,Mykki Blanco,transgender female,,,,L371,,they/them
1546253,Q18001529,Parker Molloy,transgender female,,,,,,
1547154,Q104727211,Seroje Fioletovoje,agender,,,,L371,,they/them
1547185,Q106840177,Ninis Blomérus,transgender female,,,,,,
1547239,Q39402,Pinki Pramanik,intersex,,,,,,
1549135,Q20047304,Frances Quinlan,non-binary,,,,,,
1549451,Q39072725,Sasha J. Blondeau,transgender male,,,,,,
1549497,Q47581044,Satsuki Nishihara,transgender female,,,,,,
1549525,Q52768046,Carla Novaes,transgender female,,,,,,
1550872,Q5792770,Hugh Sheridan,non-binary,,,,,,
1551969,Q23664194,Jennicet Gutiérrez,transgender female,,,,,,
1552013,Q24287374,Bob the Drag Queen,non-binary,,pansexuality,,L484,,she/her
1552014,Q24287374,Bob the Drag Queen,non-binary,,pansexuality,,L485,,he/him
1552019,Q24524744,River Stark,transgender female,,,,,,
1552140,Q47507596,Andrew Cray,transgender male,,,,,,
1552424,Q87775098,Merc Fenn Wolfmoor,non-binary,,asexuality,,L371,,they/them
1552660,Q72636,Sarah Gronert,intersex,,,,,,
1554512,Q24865019,Rena,transgender female,,,,,,
1555045,Q87004099,Maebe A. Girl,non-binary,,,,L371,,they/them
1555046,Q87004099,Maebe A. Girl,non-binary,,,,L484,,she/her
1557489,Q55873170,Adriana Rodrigues,transgender female,,,,,,
1558768,Q5414163,Laurie Penny,genderqueer,,pansexuality,,L371,,they/them
1559619,Q18161827,Sophie,transgender female,,,,,,
1559695,Q19957749,Ezra Furman,transgender female,,bisexuality,,L371,,they/them
1559696,Q19957749,Ezra Furman,transgender female,,bisexuality,,L484,,she/her
1560437,Q101804537,Ryder Monroe,transgender female,,,,,,
1561256,Q4919967,Treechada Petcharat,transgender female,,,,,,
1562219,Q18645881,Lorena Xtravaganza,transgender female,,,,,,
1562321,Q21005041,Isabella Bennett,transgender female,,,,,,
1562678,Q55189120,Zemmoa,transgender female,,,,,,
1562808,Q68414960,Charlotte Clymer,transgender female,,,,,,
1563126,Q106866055,Margaret Gel,intersex,,,,,,
1564616,Q18720177,Daniel M. Lavery,transgender male,,,,,,
1565049,Q51685280,Mariana Alarcón,transgender female,,,,,,
1565519,Q108335239,Ezra Olubi,cisgender male,,heterosexuality,,,,
1566312,Q6375824,Kae Tempest,non-binary,,,,L371,,they/them
1567159,Q21558729,Bianca Freire,transgender female,,,,,,
1570280,Q16201572,Porpentine,transgender female,,,,,,
1571227,Q24524860,Domino Presley,transgender female,,,,,,
1571327,Q26160109,Benjamin Melzer,transgender male,,,,,,
1571734,Q29452434,Octo Octa,transgender female,,,,,,
1572109,Q47541825,Felicita,non-binary,,,,L371,,they/them
1572204,Q51031523,Akwaeke Emezi,non-binary,,,,L371,,they/them
1572230,Q51769014,Jean-François Guèvremont,transfeminine,,,,,,
1572309,Q54963081,Bhumika Shrestha,third gender,,,,,,
1572315,Q55080931,Shain Neumeier,non-binary,,,,,,
1573033,Q62606887,Juani Bermejo-Vega,transgender female,,,,,,
1573205,Q65112956,Chloe Sagal,transgender female,,,,,,
1573330,Q66085569,Tami T,transgender person,,,,,,
1574516,Q77350356,Patrick Staff,non-binary,,,,,,
1574583,Q80632185,Wagatwe Wanjuki,cisgender female,,,,,,
1575909,Q106447628,Susi Nousiainen,transgender male,,,,,,
1575970,Q106957825,Celina Alejandra Esteban,transgender female,,,,,,
1576632,Q173399,Elliot Page,non-binary,,non-heterosexuality,,L371,,they/them
1576633,Q173399,Elliot Page,transgender person,,non-heterosexuality,,L371,,they/them
1576634,Q173399,Elliot Page,non-binary,,non-heterosexuality,,L485,,he/him
1576635,Q173399,Elliot Page,transgender person,,non-heterosexuality,,L485,,he/him
1581396,Q50379405,Jonathan Van Ness,non-binary,,,,L485,,he/him
1581502,Q63010867,Elsa Ruiz,transgender female,,,,,,
1581548,Q66330219,Tess Stone,transgender male,,,,L485,,he/him
1581662,Q92200636,Khookha McQueer,transgender female,,,,,,
1582113,Q1047474,Brendon Urie,cisgender male,,pansexuality,,,,
1582619,Q4732847,Allison Weiss,non-binary,,,,L371,,they/them
1584023,Q28935885,Leiomy Maldonado,transgender female,,,,,,
1584952,Q1386500,Terry Reintke,cisgender female,,lesbianism,,L484,,she/her
1586548,Q20985226,Raffi Freedman-Gurspan,transgender female,,,,,,
1586742,Q27673046,Mae Martin,non-binary,,non-heterosexuality,,L371,,they/them
1587375,Q105099176,Melanie Davis,t2323338020,,,,,,
1588162,Q5103891,Choi Han-bit,transgender female,,,,,,
1589402,Q29913296,Sasha Velour,non-binary,,,,,,
1589405,Q30149673,Oliver Baez Bendorf,transgender male,,,,,,
1590084,Q18168126,Jessica Yaniv,transgender female,,lesbianism,,L484,,she/her
1590163,Q237270,Mara Wilson,cisgender female,,bisexuality,,,,
1591380,Q11583534,Shindou Go,transgender male,,,,,,
1591579,Q12569944,Rebecca Sugar,non-binary,,bisexuality,,L371,,they/them
1591580,Q12569944,Rebecca Sugar,non-binary,,bisexuality,,L484,,she/her
1592259,Q26922050,H-P Lehkonen,transgender male,,,,L485,,he/him
1592663,Q108004809,Louis Stéphane IV Le Clercq,non-binary,,,,,,
1593770,Q6762255,Marin Miller,non-binary,,bisexuality,,L371,,they/them
1594372,Q17024751,Zoë Quinn,non-binary,,,,L371,,they/them
1594778,Q28069249,Natsuki Majikina,transgender female,,,,,,
1595055,Q64178801,Lara Martorell,transgender female,,,,,,
1595089,Q69188610,Jazell Barbie Royale,transgender female,,,,,,
1596802,Q16070640,Jinkx Monsoon,non-binary,,,,L371,,they/them
1597478,Q66458952,Jacqueline Woods,transgender female,,,,,,
1597602,Q45119005,Munroe Bergdorf,transgender female,,,,L371,,they/them
1597603,Q45119005,Munroe Bergdorf,transgender female,,,,L484,,she/her
1597612,Q47503129,Jaime Melo Jr.,non-binary,,,,L488745,,he/him
1597614,Q47503129,Jaime Melo Jr.,non-binary,,,,L307268,,L307268
1597616,Q47503129,Jaime Melo Jr.,non-binary,,,,L43388,,she/her
1598432,Q3783092,Hanne Gaby Odiele,non-binary,,,,L371,,they/them
1598433,Q3783092,Hanne Gaby Odiele,intersex,,,,L371,,they/them
1599251,Q16201546,Casey Mongillo,non-binary,,,,,,
1599814,Q29452432,Trace Lysette,transgender female,,,,,,
1601323,Q11270900,Ami Takeuchi,transgender female,,,,,,
1602627,Q107392750,Jordan Jay,transgender female,,,,,,
1602672,Q298423,Chelsea Manning,transgender female,,,,L371,,they/them
1602673,Q298423,Chelsea Manning,transgender female,,,,L484,,she/her
1602775,Q734039,Cara Cunningham,transgender female,,,,,,
1604029,Q17388685,Michelle Rojas,non-binary,,,,L371,,they/them
1604030,Q17388685,Michelle Rojas,non-binary,,,,L484,,she/her
1604126,Q19880824,Juliana Huxtable,transgender female,,,,,,
1605242,Q677871,Vi Hart,agender,,,,,,
1607906,Q20657645,Qween Amor,non-binary,,,,,,
1608059,Q22126243,Ayumi,transgender male,,,,,,
1609355,Q53912306,Jonelle Brooks,transgender female,,,,,,
1609370,Q54921856,Katlego Kai Kolanyane-Kesupile,transgender person,,,,,,
1610070,Q63699406,Geo Soctomah Neptune,non-binary,,,,,,
1610092,Q64092234,Kamilla Carvalho,transgender female,,,,,,
1610348,Q66325588,Amiyah Scott,transgender female,,,,,,
1611896,Q90696285,Delfina Martínez,transgender female,,,,,,
1612112,Q96026736,FaulenzA,transgender female,,,,,,
1612137,Q96471597,Efe Godoy,non-binary,,,,,,
1612677,Q105657842,Morgan of Glencoe,non-binary,,,,,,
1612828,Q104816990,Antonia Saelzer,transgender female,,,,,,
1612847,Q105164137,Jana Seelig,non-binary,,,,L41653,,she/her
1612848,Q105164137,Jana Seelig,non-binary,,,,L371,,they/them
1612849,Q105164137,Jana Seelig,non-binary,,,,L484,,she/her
1612887,Q106762380,Catalina Velasquez,transgender female,,,,,,
1612952,Q107391844,Isabel Fall,transgender female,,,,,,
1613814,Q482839,Ki Bo-bae,transgender male,,,,,,
1615870,Q56253302,Jason Greene,genderfluid,,,,,,
1615968,Q64746297,Nakhane,non-binary,,,,,,
1616560,Q988996,Elly Jackson,non-binary,,lesbianism,,,,
1618022,Q16732785,Jack Monroe,non-binary,,,,L371,,they/them
1618023,Q16732785,Jack Monroe,non-binary,,,,L484,,she/her
1618607,Q39037814,Maddy Thorson,non-binary,,,,L371,,they/them
1618696,Q52576885,Shyle Zalewski,non-binary,,bisexuality,,L9188,,she/her
1618697,Q52576885,Shyle Zalewski,non-binary,,bisexuality,,L9257,,he/him
1618703,Q54358348,Shon Faye,transgender female,,,,,,
1619695,Q3084287,Kimber James,transgender female,,,,,,
1621217,Q24572584,Sophie Labelle,non-binary,,bisexuality,,L371,,they/them
1621218,Q24572584,Sophie Labelle,transgender female,,bisexuality,,L371,,they/them
1621219,Q24572584,Sophie Labelle,non-binary,,bisexuality,,L484,,she/her
1621220,Q24572584,Sophie Labelle,transgender female,,bisexuality,,L484,,she/her
1621274,Q27030784,Korra Del Rio,transgender female,,,,,,
1622054,Q44627,Mel Daluzyan,transgender male,,,,,,
1623020,Q7272278,Quinn Marston,transgender male,,,,,,
1623105,Q7844022,Trisha Paytas,non-binary,,,,,,
1624099,Q28656864,Niv Acosta,transgender male,,,,,,
1624796,Q106947433,Eva Paradis,transgender female,,,,,,
1624804,Q107296751,Alessa Flores,transgender female,,,,,,
1626170,Q15838567,Christine and the Queens,genderqueer,,pansexuality,,,,
1626379,Q18175132,Eliana Rubashkyn,intersex,,,,,,
1626380,Q18175132,Eliana Rubashkyn,transfeminine,,,,,,
1626820,Q28870226,Julia Kaye,transgender female,,,,,,
1627092,Q66365036,RINGO CHAN,transgender female,,,,,,
1627480,Q185679,Nico Tortorella,genderfluid,,demisexuality,,L371,,they/them
1627481,Q185679,Nico Tortorella,genderfluid,,bisexuality,,L371,,they/them
1628115,Q3809749,Jaiyah Saelua,transgender female,,,,,,
1628498,Q6740585,Mal Blum,non-binary,,,,L371,,they/them
1629544,Q31797130,Britney Markham,transgender female,,,,,,
1629734,Q52063793,Hailie Sahar,transgender female,,t2331490498,,,,
1629801,Q68668070,P.E. Moskowitz,non-binary,,,,L371,,they/them
1630167,Q107782172,Skepna,transgender female,,,,,,
1632645,Q77917810,Ele A el Dominio,intersex,,,,,,
1633155,Q1190500,Teddy Geiger,transgender female,,,,,,
1633377,Q3025396,Yanis,non-binary,,gay,,,,
1634715,Q21063171,Kate Leth,non-binary,,bisexuality,,L371,,they/them
1634716,Q21063171,Kate Leth,non-binary,,bisexuality,,L484,,she/her
1634882,Q25633929,Fernanda Barros,transgender female,,,,,,
1635249,Q64464607,Glamour Garcia,transgender female,,,,,,
1636052,Q2473494,Jenna Talackova,transgender female,,,,,,
1637368,Q21558753,Sarina Valentina,transgender female,,,,,,
1637690,Q42429948,Natalie Wynn,transgender female,,lesbianism,,,,
1637752,Q53866350,Rami Ismail,cisgender male,,heterosexuality,,,,
1638287,Q238843,Lio Tipton,non-binary,,,,L371,,they/them
1639594,Q18199509,Sofie Hagen,non-binary,,pansexuality,,,,
1640074,Q61450151,Jos Charles,transgender female,,,,,,
1640481,Q30585,Bailey Jay,transgender female,,,,,,
1640558,Q107008748,Kdin Jenzen,transgender female,,pansexuality,,L371,,they/them
1640559,Q107008748,Kdin Jenzen,transgender female,,pansexuality,,L484,,she/her
1640718,Q727098,Kayo Satoh,transgender female,,,,,,
1641757,Q16728868,Laganja Estranja,transgender female,,,,,,
1642497,Q60320906,Destiny,non-binary,,,,L485,,he/him
1642563,Q66480976,Isabella Sorrenti,transgender female,,,,,,
1642828,Q97955027,Marissa Minx,transgender female,,,,,,
1643724,Q5688017,Hazel Tucker,transgender female,,,,,,
1644790,Q12349932,Joop Kiefte,pangender,,,,,,
1645532,Q20942791,Sumaya Dalmar,transgender female,,,,,,
1645803,Q24524774,Sienna Grace,transgender female,,,,,,
1645858,Q25091571,Peche Di,transgender female,,,,,,
1646852,Q52280826,Jessica Fox,transgender female,,,,,,
1646935,Q55397010,Rivers Solomon,non-binary,,,,L371,,they/them
1647206,Q58836589,Jonathan Lyndon Chase,non-binary,,non-heterosexuality,,L371,,they/them
1647505,Q62571356,Elle Pérez,neutral sex,,,,,,
1647615,Q63041986,Kacen Callender,transgender male,,non-heterosexuality,,L371,,they/them
1647616,Q63041986,Kacen Callender,demiboy,,non-heterosexuality,,L371,,they/them
1647617,Q63041986,Kacen Callender,transgender male,,non-heterosexuality,,L485,,he/him
1647618,Q63041986,Kacen Callender,demiboy,,non-heterosexuality,,L485,,he/him
1647912,Q65955907,JayR Tinaco,non-binary,,,,L371,,they/them
1647913,Q65955907,JayR Tinaco,non-binary,,,,L485,,he/him
1647924,Q66085319,Effy Beth,transgender female,,,,,,
1648051,Q74483046,Laith Ashley,transgender male,,,,,,
1649026,Q76417341,American Artist,non-binary,,,,L371,,they/them
1651592,Q5055668,CeCe McDonald,transgender female,,bisexuality,,,,
1653039,Q48688208,Shea Couleé,non-binary,,gay,,,,
1653253,Q75076046,Kodo Nishimura,non-binary,,gay,,,,
1655049,Q15111952,Tyler Oakley,cisgender male,,,,,,
1661044,Q28146823,Morgana Ignis,transgender female,,,,,,
1661319,Q60040585,Vera Drew,transgender female,,,,L484,,she/her
1661344,Q61787977,Jessica Platt,transgender female,,,,,,
1663597,Q24524785,Nina Lawless,transgender female,,,,,,
1663766,Q28816282,Daniela Vega,transgender female,,,,,,
1664105,Q65204812,Lucinta Luna,transgender female,,,,,,
1665915,Q16233018,Narcissa Wright,transgender female,,,,,,
1666353,Q24837389,Ella Huang,transgender female,,,,,,
1666567,Q31797130,Britney Markham,transgender female,,,,,,
1667526,Q2190050,Angie Zapata,transgender female,,,,,,
1670169,Q2608773,Monique Samuel,non-binary,,,,,,
1670487,Q5798973,Adore Delano,non-binary,,,,,,
1671898,Q53912297,Casey Kisses,transgender female,,,,,,
1671899,Q54326289,Rain Dove,non-binary,,,,,,
1673168,Q6450881,Kye Allums,transgender male,,,,,,
1673615,Q16149863,Arca,non-binary,,,,L507,,she/her
1673616,Q16149863,Arca,transgender female,,,,L507,,she/her
1673617,Q16149863,Arca,non-binary,,,,L484,,she/her
1673618,Q16149863,Arca,transgender female,,,,L484,,she/her
1674905,Q106949107,Ayelén Beker,transgender female,,,,,,
1675137,Q1813174,Kjeld Nuis,non-binary,,,,,,
1676563,Q26255101,Jessy Dubai,transgender female,,,,,,
1679234,Q63699104,Tokyo Stylez,transgender female,,,,,,
1680367,Q4897550,Beth Jeans Houghton,non-binary,,,,,,
1681876,Q16734565,Everest Pipkin,non-binary,,,,L371,,they/them
1682441,Q23948723,Shiki Aoki,transgender male,,pansexuality,,,,
1683209,Q30930415,Mulher Pepita,transgender female,,,,,,
1683416,Q49561413,Jerry Paper,non-binary,,,,L371,,they/them
1684490,Q68631381,River Gallo,non-binary,,,,L371,,they/them
1684491,Q68631381,River Gallo,intersex,,,,L371,,they/them
1684761,Q71385399,Nino Mick,non-binary,,,,L45643,,L45643
1684762,Q71385399,Nino Mick,non-binary,,,,L371,,they/them
1684775,Q72868983,K.r.m. Mooney,non-binary,,,,,,
1685810,Q86450453,Sorour Darabi,non-binary,,,,,,
1685883,Q88654001,Miiko Toiviainen,transgender male,,,,,,
1686450,Q99434698,Antonella Lerca Duda,transgender female,,,,,,
1686520,Q99772980,Cyrée Jarelle Johnson,transmasculine,,gay,,,,
1686548,Q100462270,Ilona Verley,two-spirit,,,,,,
1686549,Q100462270,Ilona Verley,transgender female,,,,,,
1686577,Q101142834,Mauree Turner,non-binary,,non-heterosexuality,,L371,,they/them
1686578,Q101142834,Mauree Turner,non-binary,,non-heterosexuality,,L484,,she/her
1686592,Q101535807,Arielle Keil,transgender female,,,,,,
1686679,Q104586525,Naomie Pieter,genderqueer,,,,,,
1686745,Q105478758,Paperboy Prince,non-binary,,,,L371,,they/them
1686777,Q105816235,jan Misali,non-binary,,,,L371,,they/them
1686778,Q105816235,jan Misali,non-binary,,,,L485,,he/him
1686789,Q105906250,Len,bigender,,,,,,
1686940,Q107359013,Oli London,non-binary,,,,,,
1689488,Q24579375,Kendra Sinclaire,transgender female,,,,,,
1691352,Q6574985,Tessa Violet,cisgender female,,heterosexuality,,,,
1692436,Q26702590,Mao Sugiyama,agender,,,,,,
1692438,Q26702637,Dominique Provost-Chalkley,non-binary,,non-heterosexuality,,,,
1692439,Q26702637,Dominique Provost-Chalkley,non-binary,,bisexuality,,,,
1692440,Q26702637,Dominique Provost-Chalkley,genderfluid,,non-heterosexuality,,,,
1692441,Q26702637,Dominique Provost-Chalkley,genderfluid,,bisexuality,,,,
1692550,Q28466344,Bruna Butterfly,transgender female,,,,,,
1692683,Q42297595,Ines Rau,transgender female,,,,,,
1692890,Q62435071,Yuhua Hamasaki,non-binary,,,,,,
1695469,Q41520362,Leyna Bloom,transgender female,,,,,,
1695773,Q65923004,Brandon Kelley,non-binary,,,,L371,,they/them
1696399,Q2550291,Valentijn de Hingh,transgender female,,,,,,
1696882,Q7027737,Varien,transgender female,,,,,,
1698300,Q57586387,Bethany C. Meyers,non-binary,,,,L371,,they/them
1698351,Q61732170,Lee Mandelo,transmasculine,,,,L371,,they/them
1698439,Q54994240,Gia Gunn,transgender female,,,,,,
1698480,Q56283973,Shin Thant,transgender female,,,,,,
1700876,Q31189831,Çağla Akalın,transgender female,,,,,,
1701329,Q94123348,Jesse James Keitel,non-binary,,,,L371,,they/them
1701330,Q94123348,Jesse James Keitel,non-binary,,,,L484,,she/her
1701673,Q262772,Eliot Sumner,non-binary,,,,L371,,they/them
1702419,Q7653796,Swapna,transgender female,,,,,,
1703613,Q48871586,Linn da Quebrada,non-binary,,,,,,
1703614,Q48871586,Linn da Quebrada,transgender female,,,,,,
1703615,Q48871586,Linn da Quebrada,travesti,,,,,,
1703745,Q61441003,Sabrina Cotugno,non-binary,,,,L371,,they/them
1704198,Q105427564,Joana Couto,transgender female,,,,,,
1704344,Q718568,Reimond Manco,transgender female,,,,,,
1704345,Q718568,Reimond Manco,intersex,,,,,,
1704691,Q4685446,Adrienne Wu,neutrois,,,,L371,,they/them
1705473,Q17011236,Sarah McBride,transgender female,,,,,,
1705831,Q22665682,Mio Negga,transgender male,,,,,,
1706271,Q53567345,Eureka O'Hara,non-binary,,,,,,
1706849,Q106529401,Nina,transgender female,,,,,,
1708410,Q20810513,Kat Blaque,transgender female,,,,,,
1708974,Q57591366,Karina Minaeva,transgender female,,,,,,
1710647,Q16935097,Venus Lux,transgender female,,,,,,
